label,sample,az_max,gyromag_mean,accmag_mean,gz_std,gyromag_max,az_mean,gz_range,gz_min
IDLE,1,-1.013,0.1271512786511729,9.365428684109098,0.0006947567780233734,0.12887978895078933,-1.037236842105263,0.0020000000000000018,0.052
IDLE,2,-0.996,0.12704513933358863,9.362859362544995,0.000706616925373556,0.12822246293064254,-1.0357631578947366,0.0020000000000000018,0.052
IDLE,3,-1.004,0.12722100667194937,9.364032027315668,0.0006994639236317114,0.12887978895078933,-1.0370263157894736,0.0020000000000000018,0.052
IDLE,4,-1.003,0.1271059992169153,9.363156771708094,0.0007004639236317114,0.12822246293064254,-1.0367631578947368,0.0020000000000000018,0.052
IDLE,5,-1.002,0.12716233882985515,9.36351682454557,0.0006994639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,6,-1.003,0.1271100134738623,9.363414379604623,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,7,-1.001,0.12711989709418008,9.363771659654605,0.0006994639236317114,0.12822246293064254,-1.036842105263158,0.0020000000000000018,0.052
IDLE,8,-1.003,0.1271133232457993,9.363568130839118,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,9,-1.003,0.1271150366939463,9.36363585552287,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,10,-1.003,0.12711450740530622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,11,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,12,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,13,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,14,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,15,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,16,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,17,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,18,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,19,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
IDLE,20,-1.003,0.12711452041690622,9.36361358069808,0.0007004639236317114,0.12822246293064254,-1.0368157894736842,0.0020000000000000018,0.052
LIFT,1,2.5,2.1,10.8,0.8,3.7,1.8,3.1,-1.5
LIFT,2,2.8,2.0,10.9,0.9,3.8,1.9,3.2,-1.6
LIFT,3,3.0,2.2,11.0,0.9,4.0,2.0,3.4,-1.7
LIFT,4,3.2,2.3,11.1,1.0,4.1,2.1,3.5,-1.8
LIFT,5,3.4,2.4,11.2,1.0,4.2,2.2,3.6,-1.9
LIFT,6,3.6,2.5,11.3,1.1,4.3,2.3,3.7,-2.0
LIFT,7,3.8,2.4,11.4,1.1,4.4,2.4,3.8,-2.1
LIFT,8,4.0,2.5,11.5,1.1,4.5,2.5,3.9,-2.2
LIFT,9,4.2,2.6,11.6,1.2,4.6,2.6,4.0,-2.3
LIFT,10,4.4,2.7,11.7,1.2,4.7,2.7,4.1,-2.4
LIFT,11,4.6,2.8,11.8,1.2,4.8,2.8,4.2,-2.5
LIFT,12,4.8,2.9,11.9,1.3,4.9,2.9,4.3,-2.6
LIFT,13,5.0,3.0,12.0,1.3,5.0,3.0,4.4,-2.7
LIFT,14,5.2,3.1,12.1,1.3,5.1,3.1,4.5,-2.8
LIFT,15,5.4,3.2,12.2,1.4,5.2,3.2,4.6,-2.9
